Graph,Algorithm,Max threads,median,std
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,8,36000.150513,82302.79047160866
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,10,40548.411377000004,83395.57850686247
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,12,66545.9200135,72221.69700660625
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,14,53849.47808850001,80942.95455131929
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,16,47498.6960755,62317.94821433243
"('Preferential attachment 100 edges per vertice', 1000)",parallel sollin FAL,18,48424.143768,80394.46409119367
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,1,2696778.376846,50590.831756727974
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,2,3325516.734573,357956.28350772936
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,4,2628116.0728455,364835.8210696048
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,6,2250254.3757015,397890.7440826501
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,8,1887392.0131075,417515.27304007346
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,10,1797467.469788,481637.4890192221
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,12,1675653.4035184998,393429.530298397
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,14,1422285.9781645,400026.8850072251
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,16,1358161.1282199998,297045.13766661903
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,18,1465498.519928,319553.6240550692
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,20,1438324.9208525,404923.3118837879
"('Preferential attachment 100 edges per vertice', 10000)",parallel sollin AL,22,1301429.0012205,397285.7976074
